
1,321,L
2,32,S
3,43,S
4,56,S
5,65,L
6,75,XL
7,89,XL
8,90,M
9,101,M
10,110,L
11,321,L
12,32,S
13,43,S
14,56,S
15,65,L
16,75,XL
17,89,XL
18,90,M
19,101,M
20,110,L
21,321,L
22,32,S
23,43,S
24,56,S
25,65,L
26,75,XL
27,89,XL
28,90,M
29,101,M
30,110,L
31,321,L
32,32,S
33,43,S
34,56,S
35,65,L
36,75,XL
37,89,XL
38,90,M
39,101,M
40,110,L
41,321,L
42,32,S
43,43,S
44,56,S
45,65,L
46,75,XL
47,89,XL
48,90,M
49,101,M
50,110,L
51,321,L
52,32,S
53,43,S
54,56,S
55,65,L
56,75,XL
57,89,XL
58,90,M
59,101,M
60,110,L
61,321,L
62,32,S
63,43,S
64,56,S
65,65,L
66,75,XL
67,89,XL
68,90,M
69,101,M
70,110,L
71,321,L
72,32,S
73,43,S
74,56,S
75,65,L
76,75,XL
77,89,XL
78,90,M
79,101,M
80,110,L
81,321,L
82,32,S
83,43,S
84,56,S
85,65,L
86,75,XL
87,89,XL
88,90,M
89,101,M
90,110,L
91,321,L
92,32,S
93,43,S
94,56,S
95,65,L
96,75,XL
97,89,XL
98,90,M
99,101,M
100,110,L
