
1,321
2,32
3,43
4,56
5,65
6,75
7,89
8,90
9,101
10,110
11,321
12,32
13,43
14,56
15,65
16,75
17,89
18,90
19,101
20,110
21,321
22,32
23,43
24,56
25,65
26,75
27,89
28,90
29,101
30,110
31,321
32,32
33,43
34,56
35,65
36,75
37,89
38,90
39,101
40,110
41,321
42,32
43,43
44,56
45,65
46,75
47,89
48,90
49,101
50,110
51,321
52,32
53,43
54,56
55,65
56,75
57,89
58,90
59,101
60,110
61,321
62,32
63,43
64,56
65,65
66,75
67,89
68,90
69,101
70,110
71,321
72,32
73,43
74,56
75,65
76,75
77,89
78,90
79,101
80,110
81,321
82,32
83,43
84,56
85,65
86,75
87,89
88,90
89,101
90,110
91,321
92,32
93,43
94,56
95,65
96,75
97,89
98,90
99,101
100,110
