
1,321,L
2,32,S
3,43,S
4,56,S
5,65,L
6,75,XL
7,89,XL
8,90,M
9,101,M
10,110,L
11,321,L
12,32,S
13,43,S
14,56,S
15,65,L
16,75,XL
17,89,XL
18,90,M
19,101,M
20,110,L
21,321,L
22,32,S
23,43,S
24,56,S
25,65,L
26,75,XL
27,89,XL
28,90,M
29,101,M
30,110,L
31,321,L
32,32,S
33,43,S
34,56,S
35,65,L
36,75,XL
37,89,XL
38,90,M
39,101,M
40,110,L
41,321,L
42,32,S
43,43,S
44,56,S
45,65,L
46,75,XL
47,89,XL
48,90,M
49,101,M
50,110,L
51,321,L
52,32,S
53,43,S
54,56,S
55,65,L
56,75,XL
57,89,XL
58,90,M
59,101,M
60,110,L
61,321,L
62,32,S
63,43,S
64,56,S
65,65,L
66,75,XL
67,89,XL
68,90,M
69,101,M
70,110,L
71,321,L
72,32,S
73,43,S
74,56,S
75,65,L
76,75,XL
77,89,XL
78,90,M
79,101,M
80,110,L
81,321,L
82,32,S
83,43,S
84,56,S
85,65,L
86,75,XL
87,89,XL
88,90,M
89,101,M
90,110,L
91,321,L
92,32,S
93,43,S
94,56,S
95,65,L
96,75,XL
97,89,XL
98,90,M
99,101,M
100,110,L
101,321,L
102,32,S
103,43,S
104,56,S
105,65,L
106,75,XL
107,89,XL
108,90,M
109,101,M
110,110,L
111,321,L
112,32,S
113,43,S
114,56,S
115,65,L
116,75,XL
117,89,XL
118,90,M
119,101,M
120,110,L
121,321,L
122,32,S
123,43,S
124,56,S
125,65,L
126,75,XL
127,89,XL
128,90,M
129,101,M
130,110,L
131,321,L
132,32,S
133,43,S
134,56,S
135,65,L
136,75,XL
137,89,XL
138,90,M
139,101,M
140,110,L
141,321,L
142,32,S
143,43,S
144,56,S
145,65,L
146,75,XL
147,89,XL
148,90,M
149,101,M
150,110,L
151,321,L
152,32,S
153,43,S
154,56,S
155,65,L
156,75,XL
157,89,XL
158,90,M
159,101,M
160,110,L
161,321,L
162,32,S
163,43,S
164,56,S
165,65,L
166,75,XL
167,89,XL
168,90,M
169,101,M
170,110,L
171,321,L
172,32,S
173,43,S
174,56,S
175,65,L
176,75,XL
177,89,XL
178,90,M
179,101,M
180,110,L
181,321,L
182,32,S
183,43,S
184,56,S
185,65,L
186,75,XL
187,89,XL
188,90,M
189,101,M
190,110,L
191,321,L
192,32,S
193,43,S
194,56,S
195,65,L
196,75,XL
197,89,XL
198,90,M
199,101,M
200,110,L
201,321,L
202,32,S
203,43,S
204,56,S
205,65,L
206,75,XL
207,89,XL
208,90,M
209,101,M
210,110,L
211,321,L
212,32,S
213,43,S
214,56,S
215,65,L
216,75,XL
217,89,XL
218,90,M
219,101,M
220,110,L
221,321,L
222,32,S
223,43,S
224,56,S
225,65,L
226,75,XL
227,89,XL
228,90,M
229,101,M
230,110,L
231,321,L
232,32,S
233,43,S
234,56,S
235,65,L
236,75,XL
237,89,XL
238,90,M
239,101,M
240,110,L
241,321,L
242,32,S
243,43,S
244,56,S
245,65,L
246,75,XL
247,89,XL
248,90,M
249,101,M
250,110,L
251,321,L
252,32,S
253,43,S
254,56,S
255,65,L
256,75,XL
257,89,XL
258,90,M
259,101,M
260,110,L
261,321,L
262,32,S
263,43,S
264,56,S
265,65,L
266,75,XL
267,89,XL
268,90,M
269,101,M
270,110,L
271,321,L
272,32,S
273,43,S
274,56,S
275,65,L
276,75,XL
277,89,XL
278,90,M
279,101,M
280,110,L
281,321,L
282,32,S
283,43,S
284,56,S
285,65,L
286,75,XL
287,89,XL
288,90,M
289,101,M
290,110,L
291,321,L
292,32,S
293,43,S
294,56,S
295,65,L
296,75,XL
297,89,XL
298,90,M
299,101,M
300,110,L
301,321,L
302,32,S
303,43,S
304,56,S
305,65,L
306,75,XL
307,89,XL
308,90,M
309,101,M
310,110,L
311,321,L
312,32,S
313,43,S
314,56,S
315,65,L
316,75,XL
317,89,XL
318,90,M
319,101,M
320,110,L
321,321,L
322,32,S
323,43,S
324,56,S
325,65,L
326,75,XL
327,89,XL
328,90,M
329,101,M
330,110,L
331,321,L
332,32,S
333,43,S
334,56,S
335,65,L
336,75,XL
337,89,XL
338,90,M
339,101,M
340,110,L
341,321,L
342,32,S
343,43,S
344,56,S
345,65,L
346,75,XL
347,89,XL
348,90,M
349,101,M
350,110,L
351,321,L
352,32,S
353,43,S
354,56,S
355,65,L
356,75,XL
357,89,XL
358,90,M
359,101,M
360,110,L
361,321,L
362,32,S
363,43,S
364,56,S
365,65,L
366,75,XL
367,89,XL
368,90,M
369,101,M
370,110,L
371,321,L
372,32,S
373,43,S
374,56,S
375,65,L
376,75,XL
377,89,XL
378,90,M
379,101,M
380,110,L
381,321,L
382,32,S
383,43,S
384,56,S
385,65,L
386,75,XL
387,89,XL
388,90,M
389,101,M
390,110,L
391,321,L
392,32,S
393,43,S
394,56,S
395,65,L
396,75,XL
397,89,XL
398,90,M
399,101,M
400,110,L
